"FIPS","AllRace_Total","AllRace_Male","AllRace_Female","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_Male","W_Female","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_Male","B_Female","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_Male","I_Female","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_Male","A_Female","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_Male","H_Female","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_Male","O_Female","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female_50-","O_Female_50-65","O_Female_65+","AllRace_50-","AllRace_50-65","AllRace_65+","W_50-","W_50-65","W_65+","B_50-","B_50-65","B_65+","A_50-","A_50-65","A_65+","I_50-","I_50-65","I_65+","H_50-","H_50-65","H_65+","O_50-","O_50-65","O_65+","state"
"30091",3539,1842,1697,1019,401,422,874,373,450,3170,1677,1493,899,381,397,740,333,420,14,8,6,7,1,0,3,1,2,61,27,34,23,1,3,26,5,3,13,1,12,1,0,0,4,3,5,107,48,59,35,7,6,47,8,4,174,81,93,54,11,16,54,23,16,2038,802,844,1798,762,794,14,2,0,2,0,0,46,2,6,70,14,12,108,22,32,"30"
"30093",35133,17828,17305,10741,3680,3407,9807,3658,3840,31081,15795,15286,9181,3356,3258,8368,3320,3598,126,77,49,58,14,5,37,3,9,480,284,196,208,46,30,142,30,24,214,86,128,71,9,6,84,23,21,1638,827,811,656,111,60,588,134,89,1594,759,835,567,144,48,588,148,99,21482,7360,6814,18362,6712,6516,116,28,10,142,18,12,416,92,60,1312,222,120,1134,288,96,"30"
"30095",8963,4564,4399,2344,1089,1131,2270,1070,1059,8110,4172,3938,2100,997,1075,1942,993,1003,13,6,7,5,0,1,4,2,1,85,36,49,22,9,5,27,12,10,22,14,8,6,6,2,5,0,3,269,125,144,90,19,16,107,32,5,464,211,253,121,58,32,185,31,37,4688,2178,2262,4200,1994,2150,10,0,2,12,12,4,44,18,10,180,38,32,242,116,64,"30"
"30097",3678,1868,1810,981,396,491,903,404,503,3332,1687,1645,867,361,459,799,361,485,8,5,3,2,2,1,2,1,0,24,8,16,8,0,0,9,6,1,15,8,7,5,2,1,6,1,0,98,44,54,29,11,4,34,17,3,201,116,85,70,20,26,53,18,14,1962,792,982,1734,722,918,4,4,2,10,4,2,16,0,0,58,22,8,140,40,52,"30"
"30099",6226,3104,3122,1716,679,709,1717,634,771,5655,2810,2845,1505,627,678,1514,604,727,19,13,6,8,5,0,6,0,0,101,54,47,33,17,4,25,13,9,15,7,8,0,4,3,5,3,0,85,45,40,36,7,2,29,8,3,351,175,176,134,19,22,138,6,32,3432,1358,1418,3010,1254,1356,16,10,0,0,8,6,66,34,8,72,14,4,268,38,44,"30"
"12021",375752,182808,192944,88150,36296,58362,87069,41572,64303,235455,113325,122130,36795,24588,51942,36516,29265,56349,22554,10960,11594,7776,1970,1214,8237,2047,1310,551,283,268,169,78,36,167,52,49,5419,2301,3118,1360,423,518,1800,683,635,102249,51367,50882,39004,8424,3939,37265,8459,5158,9524,4572,4952,3046,813,713,3084,1066,802,176300,72592,116724,73590,49176,103884,15552,3940,2428,2720,846,1036,338,156,72,78008,16848,7878,6092,1626,1426,"12"
"12023",69698,35605,34093,21142,7535,6928,19441,7241,7411,49096,24858,24238,13621,5568,5669,12823,5427,5988,11441,6086,5355,4178,1236,672,3494,1040,821,236,89,147,41,24,24,85,30,32,867,407,460,257,78,72,255,125,80,5063,2753,2310,2002,424,327,1669,340,301,2995,1412,1583,1043,205,164,1115,279,189,42284,15070,13856,27242,11136,11338,8356,2472,1344,514,156,144,82,48,48,4004,848,654,2086,410,328,"12"
"12027",33976,18362,15614,11002,3578,3782,8657,3033,3924,18624,9523,9101,4232,2114,3177,3779,2004,3318,4203,2519,1684,1749,530,240,1066,341,277,80,48,32,28,16,4,8,15,9,189,111,78,81,15,15,53,14,11,10011,5734,4277,4623,824,287,3458,587,232,869,427,442,289,79,59,293,72,77,22004,7156,7564,8464,4228,6354,3498,1060,480,162,30,30,56,32,8,9246,1648,574,578,158,118,"12"
"12029",16759,9322,7437,5172,2167,1983,3731,1808,1898,13750,7312,6438,3740,1763,1809,3080,1619,1739,1551,1183,368,889,215,79,231,70,67,61,23,38,17,5,1,12,21,5,58,29,29,16,8,5,8,10,11,688,459,229,328,93,38,162,33,34,651,316,335,182,83,51,238,55,42,10344,4334,3966,7480,3526,3618,1778,430,158,32,16,10,34,10,2,656,186,76,364,166,102,"12"
"51640",6720,3152,3568,1888,643,621,1935,708,925,4975,2311,2664,1225,517,569,1235,596,833,354,184,170,111,46,27,93,21,56,13,11,2,4,6,1,2,0,0,52,20,32,12,8,0,16,11,5,1061,511,550,446,52,13,467,61,22,265,115,150,90,14,11,122,19,9,3776,1286,1242,2450,1034,1138,222,92,54,24,16,0,8,12,2,892,104,26,180,28,22,"51"
