"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"24",6177224,3914396,1178946,857490,2975416,1957198,589473,428745,3201808,1988496,655742,557570,2913782,1636256,653242,565412,1427455,818128,326621,282706,1486327,800996,340579,344752,1795027,1134524,329236,194050,828905,567262,164618,97025,966122,614155,203788,148179,12055,7412,2734,1670,5908,3706,1367,835,6147,3582,1544,1021,417962,277206,71374,47434,198007,138603,35687,23717,219955,147456,42581,29918,729745,620956,85028,30508,368246,310478,42514,15254,361499,296845,43810,20844,308653,238042,37332,18416,146895,119021,18666,9208,161758,125462,23440,12856
"25",7029917,4334938,1385468,1082998,3401702,2167469,692734,541499,3628215,2190675,747251,690289,4748897,2619822,1065526,916148,2300748,1309911,532763,458074,2448149,1305767,564490,577892,457055,317378,78552,44446,220188,158689,39276,22223,236867,161673,43613,31581,9387,5878,2126,1394,4699,2939,1063,697,4688,2935,1041,712,504900,364716,72460,44392,240784,182358,36230,22196,264116,195845,41032,27239,887685,698238,110004,51160,429701,349119,55002,25580,457984,356729,64997,36258,421993,328906,56800,25458,205582,164453,28400,12729,216411,167726,32078,16607
"26",10077331,6283090,2030008,1628614,4970856,3141545,1015004,814307,5106475,3062679,1052323,991473,7295651,4251092,1603466,1383206,3618882,2125546,801733,691603,3676769,2037663,815239,823867,1358458,911450,234758,146394,646301,455725,117379,73197,712157,470188,134930,107039,47406,31396,10292,5696,23692,15698,5146,2848,23714,14999,5282,3433,332288,249266,49326,26762,162677,124633,24663,13381,169611,126621,26388,16602,564422,468580,68682,33138,285200,234290,34341,16569,279222,225723,33953,19546,479106,371306,63484,33418,234104,185653,31742,16709,245002,187485,36531,20986
"27",5706494,3701096,1100500,869300,2835448,1850548,550250,434650,2871046,1796906,559497,514643,4353880,2578718,939732,801130,2159790,1289359,469866,400565,2194090,1243873,477802,472415,392850,321614,52900,20860,197687,160807,26450,10430,195163,157884,24493,12786,57046,42654,9324,4528,28253,21327,4662,2264,28793,20698,5097,2998,297460,236048,34652,16560,143630,118024,17326,8280,153830,123184,19360,11286,345640,305746,34892,12550,176594,152873,17446,6275,169046,144498,17293,7255,259618,216316,29000,13672,129494,108158,14500,6836,130124,106769,15452,7903
"28",2961279,1857102,553186,449418,1429853,928551,276593,224709,1531426,945572,301002,284852,1639077,953354,340188,315804,804673,476677,170094,157902,834404,467839,173743,192822,1079001,712708,181028,116662,505199,356354,90514,58331,573802,384089,109259,80454,14019,9948,2202,1176,6663,4974,1101,588,7356,5321,1297,738,32305,22106,4976,2642,14862,11053,2488,1321,17443,12016,3284,2143,105220,92550,12110,5412,55036,46275,6055,2706,50184,41371,5479,3334,91657,66436,12682,7722,43420,33218,6341,3861,48237,34936,7940,5361
"29",6154913,3911588,1173974,962666,3024114,1955794,586987,481333,3130799,1917313,617062,596424,4663907,2811840,952012,839284,2301568,1405920,476006,419642,2362339,1361359,490797,510183,692774,471424,118870,69564,329929,235712,59435,34782,362845,243948,68048,50849,23496,15012,5466,3084,11781,7506,2733,1542,11715,7328,2690,1697,132158,97354,17430,9890,62337,48677,8715,4945,69821,51740,10875,7206,303068,258546,33806,15740,154046,129273,16903,7870,149022,122056,17152,9814,339510,257412,46390,25104,164453,128706,23195,12552,175057,130882,27500,16675
"30",1084225,672156,209036,207284,544238,336078,104518,103642,539987,320410,107936,111641,901318,531396,184354,192440,454095,265698,92177,96220,447223,250578,93806,102839,5077,4980,900,408,3144,2490,450,204,1933,1578,213,142,64592,49016,9338,5286,31820,24508,4669,2643,32772,24286,5274,3212,8077,4850,920,528,3149,2425,460,264,4928,3333,972,623,45199,36938,5004,2940,22441,18469,2502,1470,22758,18162,2842,1754,59962,44976,8520,5682,29589,22488,4260,2841,30373,22473,4829,3071
"31",1961504,1309910,351700,291874,976742,654955,175850,145937,984762,631583,177769,175410,1484687,911198,294158,266262,735809,455599,147079,133131,748878,439646,149148,160084,94405,74710,14976,7512,48599,37355,7488,3756,45806,34218,7054,4534,15051,11628,2180,992,7400,5814,1090,496,7651,5616,1308,727,52359,41634,6100,2886,25310,20817,3050,1443,27049,21251,3638,2160,234715,204706,25386,9768,119930,102353,12693,4884,114785,97801,11737,5247,80287,66034,8900,4454,39694,33017,4450,2227,40593,33051,4884,2658
"32",3104614,2040610,586456,480402,1553734,1020305,293228,240201,1550880,986787,295834,268259,1425952,782716,336064,340926,729853,391358,168032,170463,696099,360607,157518,177974,291960,209118,50394,30198,144855,104559,25197,15099,147105,102125,26292,18688,23392,15088,4716,3068,11436,7544,2358,1534,11956,7461,2598,1897,265991,153878,47874,37720,119736,76939,23937,18860,146255,84456,33616,28183,890257,717588,121194,52912,445847,358794,60597,26456,444410,351222,61160,32028,207062,162222,26214,15578,102007,81111,13107,7789,105055,80916,14650,9489
"33",1377529,802660,313852,246906,681709,401330,156926,123453,695820,391614,161705,142501,1200649,665984,286932,234812,593864,332992,143466,117406,606785,324149,147340,135296,18655,16138,3376,1336,10425,8069,1688,668,8230,6391,1201,638,2299,1340,586,322,1124,670,293,161,1175,708,284,183,35604,25250,5366,2580,16598,12625,2683,1290,19006,14039,3235,1732,59454,49326,7292,2860,29739,24663,3646,1430,29715,23835,3982,1898,60868,44622,10300,4996,29959,22311,5150,2498,30909,22492,5663,2754
