"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+","state"
"13097",689,98,238,353,361,36,128,197,328,62,109,157,404,37,127,241,222,16,69,137,183,21,58,104,246,51,98,96,121,16,55,50,125,35,43,46,1,0,1,0,0,0,0,0,1,0,1,0,7,2,2,3,3,0,2,1,4,2,0,2,29,7,10,12,14,3,4,8,15,4,6,4,2,0,1,1,2,0,1,1,0,0,0,0,"13"
"13099",64,8,22,34,33,3,12,18,31,5,10,16,36,3,11,22,19,2,6,11,17,1,5,11,28,5,10,13,14,1,5,7,14,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13101",19,2,7,10,10,1,2,7,9,1,5,3,17,2,6,9,9,0,3,6,8,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13103",327,46,117,165,172,17,62,94,155,28,56,71,281,37,100,143,149,14,52,83,132,23,48,60,39,7,13,19,19,3,7,9,19,4,6,10,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,4,0,1,3,4,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,"13"
"13105",143,15,45,84,75,6,25,45,68,9,20,39,101,10,29,62,54,4,14,36,47,6,14,27,39,4,15,20,19,3,7,8,20,1,6,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13107",134,13,45,76,71,5,24,42,63,8,21,34,96,8,31,57,50,3,16,30,46,5,15,26,37,5,13,19,20,2,7,11,17,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13109",60,4,19,37,29,1,9,19,31,3,10,18,42,2,12,28,21,0,7,14,21,2,5,13,17,3,6,9,8,0,4,4,9,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,"13"
"13111",228,13,64,152,126,5,33,88,102,8,30,64,224,13,62,149,123,5,32,86,101,8,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,0,2,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13113",713,73,216,424,380,28,118,235,333,46,97,189,515,44,140,331,274,16,77,181,240,28,62,150,150,18,60,73,83,7,34,43,67,12,25,30,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,5,7,2,2,3,7,1,4,2,31,6,11,14,13,2,6,6,17,4,5,8,3,0,1,2,2,0,1,1,1,0,0,1,"13"
"13115",553,61,173,319,284,24,86,173,269,37,86,146,465,47,141,277,238,17,69,152,227,31,70,125,70,8,26,36,38,4,14,20,32,4,12,16,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,1,0,3,1,1,1,14,5,5,3,5,1,2,2,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
