"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"241",13516,"544",316,149.090256424556,1,55,0.000044988496206021744
"241",13516,"568",80,94.7230447277623,3,22,0.00011145221429687597
"241",13516,"572",180,81.8748392423823,1,57,0.00014917604177476073
"241",13516,"655",459,176.170072349121,1,68,0.00003222075663051997
"241",13516,"659",528,175.1962177162,2,78,0.000032579960089733736
"241",13516,"670",155,168.146288796468,3,24,0.00003536921551775335
"241",13516,"766",198,149.131643190958,1,35,0.00004496352940509632
"241",13516,"981",125,112.662408854043,1,29,0.00007878470887574178
"242",33001,"16",1018,74.2773247037714,39,939,0.00018125395587918053
"242",33001,"57",467,66.673028853976,2,480,0.00022495706138171427
"242",33001,"62",368,80.4548176768698,1,313,0.00015448840522673692
"242",33001,"64",349,71.0795671242929,12,336,0.00019792946530292115
"242",33001,"80",100,173.324568398855,1,40,0.00003328739006570986
"242",33001,"104",208,36.6204961705329,19,389,0.0007456783800572368
"242",33001,"105",428,29.0893635039237,54,1008,0.0011817661950745443
"242",33001,"131",346,42.12455118888,11,563,0.0005635460712697975
"242",33001,"132",294,49.7774377052437,4,405,0.00040358491492413235
"242",33001,"169",291,67.5518693218366,2,295,0.00021914181637594103
"242",33001,"175",100,18.130244823056,60,378,0.0030422343290382628
"242",33001,"209",320,147.690195169993,1,148,0.00004584549552377382
"242",33001,"213",1013,141.498443044064,1,490,0.000049945535931582604
"242",33001,"216",1709,138.852660776756,3,843,0.00005186705472578953
"242",33001,"225",628,31.1134868687239,804,1383,0.0010330054911617712
"242",33001,"226",126,20.7772217933959,114,415,0.0023164612962192693
"242",33001,"235",220,8.56264429970097,2675,1760,0.013639052252223614
"242",33001,"279",684,98.2466154305636,8,477,0.00010360120434794639
"242",33001,"301",231,82.1714536377103,28,193,0.0001481010236541316
"242",33001,"302",320,81.8162622381085,1,268,0.0001493897257911173
"242",33001,"303",942,79.3853956650501,5,813,0.00015867875072113168
"242",33001,"326",654,60.6377214207863,55,739,0.00027196577406470035
"242",33001,"332",307,64.903674666956,1,324,0.00023738945746128122
"242",33001,"334",227,67.130556646829,2,232,0.0002219011246020624
"242",33001,"335",219,68.2941566516439,1,220,0.00021440401172493023
"242",33001,"341",110,60.53300639505,3,124,0.0002729075259225635
"242",33001,"347",524,86.7506511545865,3,414,0.00013287843771907156
"242",33001,"359",313,82.985471108812,12,258,0.00014520978163838687
"242",33001,"368",120,70.8798295276841,1,116,0.0001990465576778136
"242",33001,"386",194,238.661460377127,1,56,0.00001755639779103839
"242",33001,"405",278,188.027814309319,2,101,0.000028284975349269224
"242",33001,"406",121,190.366312984091,1,44,0.000027594326769504708
"242",33001,"522",100,88.5722357338128,4,77,0.00012746906068151795
"242",33001,"534",214,267.53450513653,1,55,0.000013971415041699843
"242",33001,"543",174,121.276959682792,1,98,0.00006798974275499816
"242",33001,"568",80,100.430463931365,10,55,0.00009914459937790713
"242",33001,"641",25,340.581456105912,1,5,0.00000862100712797443
"242",33001,"651",823,190.53453213363,1,296,0.000027545623313902467
