"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"110000","Beijing",39.910924547299565,116.4133836971231,"11","Beijing-Tianjin-Hebei","BTH"
"120000","Tianjin",39.09110259843554,117.2080927529767,"12","Beijing-Tianjin-Hebei","BTH"
"130100","Shijiazhuang",38.0483119268727,114.52153190157445,"13","Beijing-Tianjin-Hebei","BTH"
"130200","Tangshan",39.63658372414733,118.18645947203979,"13","Beijing-Tianjin-Hebei","BTH"
"130300","Qinhuangdao",39.89472719832739,119.5259671942601,"13","Beijing-Tianjin-Hebei","BTH"
"130400","Handan",36.631262731204046,114.5456282282352,"13","Central Plains","CP"
"130500","Xingtai",37.07668595096609,114.51146225612979,"13","Central Plains","CP"
"130600","Baoding",38.87998776845534,115.47146383768579,"13","Beijing-Tianjin-Hebei","BTH"
"130700","Zhangjiakou",40.7732372026915,114.89257223145165,"13","Beijing-Tianjin-Hebei","BTH"
"130800","Chengde",40.95785601233803,117.96939750996681,"13","Beijing-Tianjin-Hebei","BTH"
"130900","Cangzhou",38.310215141107044,116.84558075595014,"13","Beijing-Tianjin-Hebei","BTH"
"131000","Langfang",39.54336666275853,116.69058173342549,"13","Beijing-Tianjin-Hebei","BTH"
"131100","Hengshui",37.745191408077424,115.6754061376161,"13","NA","NA"
"140100","Taiyuan",37.87698902884778,112.55639149167204,"14","Central Shannxi","CS"
"140200","Datong",40.102783001859564,113.37336244450448,"14","NA","NA"
"140300","Yangquan",37.862360847859385,113.58761666287546,"14","Central Shannxi","CS"
"140400","Changzhi",36.2012683721548,113.12255886984902,"14","Central Plains","CP"
"140500","Jincheng",35.49628458647257,112.85857823132879,"14","Central Plains","CP"
"140600","Shuozhou",39.337108370541735,112.4393709396677,"14","NA","NA"
"140700","Jinzhong",37.69283940975972,112.75959475565928,"14","Central Shannxi","CS"
"140800","Yuncheng",35.03270691290923,111.01338945447925,"14","Central Plains","CP"
"140900","Xinzhou",38.42238338517772,112.74062416023847,"14","Central Shannxi","CS"
"141000","Linfen",36.093741895419726,111.52553022403073,"14","Guanzhong Plains","GP"
"141100","Lvliang",37.524497749577115,111.15044967529185,"14","Central Shannxi","CS"
"150100","Hohhot",40.84842299711348,111.75550856170946,"15","Huhehot-Baotou-Ordos-Yulin","HBOY"
"150200","Baotou",40.62714122474678,109.95979863201062,"15","Huhehot-Baotou-Ordos-Yulin","HBOY"
"150300","Wuhai",39.6620063648907,106.80039104999656,"15","NA","NA"
"150400","Chifeng",42.2616861034116,118.8955203975195,"15","NA","NA"
"150500","Tongliao",43.657980083916655,122.25052178737633,"15","NA","NA"
"150600","Erdos",39.61448231394889,109.78744317923602,"15","Huhehot-Baotou-Ordos-Yulin","HBOY"
"150700","Hulunbuir",49.172732795190655,119.78486907317954,"15","NA","NA"
"150800","Bayannur",40.7493594895728,107.39439808372491,"15","NA","NA"
"150900","Ulanqab",41.00074832767381,113.13946767446333,"15","NA","NA"
"152200","Hinggan",46.08846371321896,122.04436452582519,"15","NA","NA"
"152500","Xilingol",43.93942266533856,116.05439144074573,"15","NA","NA"
"152900","Alxa",38.858275883056955,105.73537746449358,"15","NA","NA"
"210100","Shenyang",41.68383006919066,123.47109664482264,"21","South Central Liaoning","SCL"
"210200","Dalian",38.9189536667856,121.62163148459285,"21","South Central Liaoning","SCL"
"210300","Anshan",41.11505359694933,123.00137251399407,"21","South Central Liaoning","SCL"
